,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
74,2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300.0,191.12,0.0009528467525452556,188.11357142857145,181.74640000000008,+,,,,,100.0,100.0,100.0
75,2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000.0,190.09,-0.005378143933953306,188.2471428571429,182.19200000000006,-,,,,,100.0,100.0,100.0
76,2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700.0,190.09,0.0,188.42428571428573,182.64060000000006,+,,,,,100.0,100.0,100.0
77,2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500.0,189.76,-0.0017229654013392046,188.71142857142866,183.12620000000007,-,,,,,100.0,100.0,100.0
78,2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200.0,190.04,0.001486234300579703,188.87357142857152,183.54900000000006,+,,,,,100.0,100.0,100.0
79,2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400.0,190.43,0.0020581132562069726,189.22428571428574,183.9226000000001,+,,,,,100.0,100.0,100.0
80,2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200.0,188.71,-0.009075864221885444,189.41642857142864,184.20580000000007,-,,,,,100.0,100.0,100.0
81,2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100.0,187.69,-0.005398814180509026,189.56642857142865,184.4828000000001,-,,,,,100.0,100.0,100.0
82,2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000.0,189.18,0.007948483472799861,189.70000000000005,184.79140000000012,+,,,,,100.0,100.0,100.0
83,2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100.0,187.53,-0.008703194779534962,189.58000000000007,185.01660000000012,-,,,,,100.0,100.0,100.0
84,2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800.0,186.49,-0.005578322799358215,189.38571428571439,185.26560000000006,-,,,,,100.0,100.0,100.0
85,2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200.0,186.45,-0.00019482034798301573,189.20285714285717,185.49780000000013,-,,,,,100.0,100.0,100.0
86,2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000.0,187.13,0.0036590151430522244,188.97428571428574,185.7012000000001,+,,,,,100.0,100.0,100.0
87,2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900.0,187.29,0.0008262498425248843,188.71428571428572,185.91600000000014,+,,,,,100.0,100.0,100.0
88,2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200.0,189.61,0.012433947657393585,188.6064285714286,186.20480000000015,+,,,,,100.0,100.0,100.0
89,2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000.0,187.84,-0.009354857711591393,188.4457142857144,186.37600000000015,-,,,,,100.0,100.0,100.0
90,2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300.0,187.9,0.00029056867058852015,188.28928571428574,186.53220000000016,+,,,,,100.0,100.0,100.0
